m,y,d,t
Apr.,09,18,53F
Apr.,05,6,49F
Feb.,98,25,48.5F
Sep.,04,8,62.2F
Mar.,97,19,-179.1F
Feb.,01,22,44F
Jun.,15,2,-172.1F
Mar.,03,25,53.6F
Dec.,12,15,47.7F
Aug.,11,6,65F
Nov.,00,6,50.2F
May,19,31,61.9F
Jan.,95,8,34.1F
Jul.,05,12,67.3F
Oct.,00,6,49.3F
Sep.,13,20,56.4F
Sep.,01,26,54.9F
May,19,24,61.3F
Jul.,19,24,83.9F
Jul.,05,31,61.4F
Mar.,04,21,NA
Jan.,09,25,36.2F
Apr.,19,11,41.3F
Jun.,00,4,63.7F
Sep.,16,17,62.7F
Aug.,01,25,78.2F
Oct.,12,4,52.5F
Sep.,12,6,56.9F
May,17,15,59.2F
Oct.,15,9,50.1F
Nov.,05,6,52.1F
Dec.,04,3,35.5F
Nov.,96,4,54.8F
Nov.,02,27,NA
Oct.,14,28,49.2F
Nov.,15,8,57.4F
May,04,2,175.5F
Sep.,04,10,67.5F
Mar.,11,30,50.8F
Mar.,14,2,41F
Jul.,15,2,NA
Aug.,14,4,-164.1F
Sep.,96,19,52.8F
Jan.,99,15,46.1F
Nov.,16,2,46.6F
Jul.,03,29,68.7F
Nov.,99,23,43.2F
Dec.,97,13,43.1F
May,96,8,150.1F
Sep.,06,6,173.8F
Sep.,14,23,55F
Aug.,97,4,-189.4F
Jul.,13,23,76.2F
Apr.,95,7,51.3F
Nov.,14,27,48.5F
Sep.,16,26,55.5F
May,06,22,57.7F
May,00,19,50.1F
Jul.,13,31,68F
Oct.,16,6,46.4F
Mar.,12,6,39.7F
Mar.,09,24,41F
Aug.,06,13,57.5F
Sep.,97,4,67.1F
May,19,26,58.7F
Nov.,07,17,36.3F
Oct.,12,25,50.6F
Sep.,07,26,50.3F
Apr.,08,4,47F
Apr.,97,13,44F
May,17,31,63.3F
Oct.,02,4,55.3F
May,18,4,53.6F
Jun.,05,7,NA
Oct.,16,21,45.2F
Apr.,06,6,42.3F
Sep.,00,27,62.7F
Aug.,15,6,72.7F
Dec.,08,30,25.2F
Feb.,97,26,47.9F
Mar.,10,22,48.1F
Jun.,98,26,NA
Dec.,07,1,47.8F
Jan.,12,18,35.7F
May,19,28,52.6F
Mar.,08,12,47.2F
Mar.,07,17,49.9F
Oct.,09,31,51.2F
Mar.,02,7,51.3F
Mar.,02,8,47.1F
Aug.,02,19,73F
Nov.,14,2,58.5F
May,03,10,53.8F
Jan.,20,1,35.4F
Apr.,15,16,52.8F
May,04,24,53.1F
Jun.,03,19,66.3F
Oct.,19,9,52.7F
Sep.,01,8,57.3F
Oct.,02,7,NA
Aug.,02,18,74.2F
May,19,15,-185F
Feb.,05,22,31.9F
Jan.,18,24,-151.4F
Sep.,14,2,NA
Feb.,10,6,39.6F
Feb.,09,11,36.8F
Jun.,03,14,62.9F
Jun.,13,24,55.2F
Dec.,14,1,36.5F
Feb.,97,4,39.9F
Jun.,13,3,NA
Oct.,09,13,49.3F
Feb.,07,15,44.1F
Aug.,99,22,56.4F
Aug.,01,12,66.4F
Apr.,03,5,47.1F
Jan.,97,18,40.1F
Mar.,16,28,48.3F
Jan.,11,16,48.2F
Mar.,95,31,44.1F
Apr.,06,27,52.5F
Nov.,96,7,49.5F
Oct.,06,16,53.2F
Feb.,18,21,31.3F
Oct.,09,22,50.4F
Aug.,01,24,76.1F
Oct.,13,23,59.9F
Aug.,14,9,66.2F
Apr.,17,2,51.3F
Oct.,15,15,39.7F
Apr.,20,16,58.4F
Jan.,18,8,36.9F
Dec.,96,30,29.5F
Jul.,01,13,60.1F
Jan.,18,4,-99F
Mar.,20,28,45.7F
Sep.,17,29,64.3F
May,00,29,52.1F
Jul.,12,15,57.3F
Jan.,14,6,52.3F
Sep.,18,17,NA
Mar.,07,21,37.8F
Dec.,12,13,30.1F
May,05,5,51F
Mar.,99,10,159F
Sep.,05,16,NA
Feb.,14,22,42.9F
Mar.,98,13,NA
Apr.,19,14,38.8F
Dec.,07,18,27.8F
Jun.,00,8,62.1F
Sep.,19,28,57.9F
Oct.,14,23,51.8F
Oct.,07,20,42.8F
Aug.,96,21,67.2F
Oct.,16,29,53.8F
Sep.,19,21,61.7F
Jul.,12,18,64.4F
Sep.,09,19,66F
Nov.,01,15,29.9F
Apr.,20,9,58.6F
Jan.,20,22,34F
May,97,21,53.4F
Nov.,02,7,46.3F
Feb.,96,1,30.2F
Apr.,05,16,44.1F
Feb.,06,26,31F
Aug.,12,14,69.1F
Dec.,05,20,38F
Dec.,15,2,51F
Oct.,14,27,55F
May,15,2,51.7F
Jan.,08,29,41.2F
Dec.,06,30,48.6F
Dec.,00,5,51.4F
Mar.,08,8,NA
Feb.,99,4,48.1F
Dec.,13,16,49.5F
Jan.,06,3,30.9F
Jul.,97,29,67.2F
Feb.,03,13,29F
Sep.,07,17,57.1F
Jan.,18,2,43.9F
Dec.,04,2,37.9F
Aug.,16,31,65.6F
Aug.,14,23,56.4F
Mar.,20,30,37.7F
May,99,23,55F
Mar.,97,15,49.8F
Dec.,04,7,39.5F
Feb.,13,6,36.4F
Sep.,03,13,57.5F
Dec.,14,27,34F
Sep.,95,6,60.2F
Jun.,98,19,194.4F
Oct.,08,2,48.9F
Nov.,13,26,41.1F
Apr.,04,12,46.7F
Apr.,05,15,48.1F
May,07,26,60.7F
Jan.,12,4,44.2F
Dec.,09,24,33.1F
Apr.,95,6,50.2F
Apr.,11,26,60.1F
Nov.,09,8,41.5F
Mar.,17,1,44.3F
Jan.,20,10,45.3F
Dec.,99,13,42.4F
Apr.,96,30,49F
Nov.,04,3,51.4F
Mar.,10,9,31F
Apr.,12,6,43.1F
Apr.,18,9,56.1F
Jul.,04,30,71.4F
Aug.,18,31,57.7F
Jul.,99,14,63.3F
Aug.,16,11,55.4F
Mar.,03,3,-186.7F
Jun.,19,3,63.8F
Jun.,95,23,58F
Feb.,18,20,NA
Feb.,19,23,46.3F
May,19,2,48.4F
May,98,23,51.4F
May,13,4,52.7F
Feb.,95,20,50.3F
Aug.,15,28,60.2F
Sep.,14,25,56.3F
Aug.,14,20,53.8F
Aug.,18,30,60.6F
Apr.,05,13,51.9F
Jun.,08,21,64.5F
Jul.,00,28,62.6F
Aug.,03,10,-159.9F
Feb.,01,17,40F
Jun.,00,14,63.3F
Jun.,00,9,70.7F
May,14,4,48.2F
Apr.,96,28,54.4F
Aug.,98,23,57.5F
Dec.,07,31,41.5F
Dec.,04,4,38F
Jun.,96,25,-170.8F
Aug.,15,19,63.9F
Apr.,19,23,60.2F
Apr.,97,2,NA
Sep.,06,22,68F
May,97,15,56.2F
Nov.,14,9,50F
Nov.,15,18,55.6F
Jul.,05,30,62.6F
Nov.,07,3,53.9F
Mar.,01,21,43F
Mar.,07,5,49F
Mar.,05,31,52.4F
Apr.,00,12,43.1F
Apr.,19,21,62.3F
Nov.,13,11,42.5F
Aug.,98,4,63.1F
Aug.,99,11,59.9F
Feb.,98,11,46.1F
Apr.,07,6,50.6F
Jan.,03,26,42.5F
Nov.,16,30,32.6F
Mar.,20,2,42.6F
Sep.,06,13,71.6F
Apr.,12,11,45.7F
Nov.,16,29,29.4F
Jan.,01,25,43.7F
May,19,4,42.8F
Feb.,99,16,40.8F
Apr.,16,8,-167F
Jun.,04,24,59.4F
Nov.,97,24,195.7F
Nov.,07,22,47.8F
Aug.,04,14,65F
Mar.,02,3,40.4F
Aug.,19,20,61.2F
Apr.,97,8,46.5F
Sep.,11,28,63.7F
Jan.,15,5,-152.9F
Mar.,02,30,50.5F
Feb.,11,8,43.8F
Aug.,03,24,64.1F
Feb.,02,23,41.3F
Aug.,97,23,75.1F
Aug.,98,17,65F
Nov.,12,12,43.2F
May,19,8,50.2F
Apr.,18,14,53.5F
Mar.,04,17,57.7F
Apr.,07,1,52.6F
Nov.,16,13,40.7F
Feb.,03,20,37F
Apr.,16,23,44.4F
Oct.,17,26,57.3F
Apr.,11,19,62.5F
Jul.,96,19,60.5F
Aug.,95,14,63.9F
Nov.,98,12,40.6F
Dec.,12,3,NA
Sep.,05,12,62.9F
Oct.,03,29,39.7F
Oct.,96,23,48.8F
Aug.,10,16,187.4F
May,03,19,164.3F
Mar.,17,18,50.3F
Dec.,00,27,31.4F
Sep.,19,13,64.2F
Nov.,95,11,NA
Apr.,11,6,60.8F
Oct.,01,1,63.4F
Feb.,03,17,NA
Aug.,96,22,65.6F
Feb.,07,11,47.3F
Nov.,12,24,46.7F
Jan.,08,16,44.2F
Aug.,98,18,64.8F
Oct.,96,15,57.9F
Jun.,98,21,74.5F
Oct.,02,28,47.9F
Feb.,07,25,171.9F
Jun.,02,11,163.3F
Oct.,19,5,50.2F
Feb.,03,26,44.4F
Apr.,05,4,55.2F
Jul.,95,26,75.1F
May,03,13,48.7F
Apr.,10,19,188.4F
Dec.,03,3,160F
Aug.,95,4,68.5F
Jul.,98,17,59.8F
Dec.,09,7,45.5F
Sep.,13,8,60.1F
Jan.,20,5,43.5F
Mar.,10,4,35F
Mar.,18,18,29.8F
Aug.,00,12,172.5F
Apr.,95,29,50.8F
Feb.,01,1,31.3F
Jun.,99,28,59.3F
Dec.,05,11,32.9F
Mar.,16,12,37.5F
Dec.,01,21,38F
May,00,10,66.6F
May,97,13,58F
Feb.,98,18,42.6F
Feb.,12,6,NA
Nov.,19,2,55.6F
Sep.,05,7,69F
Jul.,96,20,-189.6F
Feb.,14,18,43.5F
May,12,25,67.8F
Apr.,20,18,51.6F
Oct.,17,7,51F
Feb.,01,21,43.1F
Nov.,18,7,51.6F
Apr.,16,6,48.2F
Jul.,06,25,76.6F
Jun.,05,28,69.9F
May,99,6,59.1F
Feb.,09,21,41.1F
Jul.,00,18,57.3F
Aug.,09,24,69.3F
Mar.,09,6,40.3F
Nov.,03,3,53.7F
Feb.,99,26,43.5F
Jun.,04,27,66F
Dec.,07,22,29.5F
Mar.,09,26,45F
Apr.,13,29,46.8F
Mar.,10,19,57F
Oct.,08,11,54.8F
Feb.,06,21,34.9F
Jan.,95,5,26.5F
Dec.,95,18,40.7F
Jan.,05,4,44.3F
Nov.,04,27,47.6F
Oct.,96,30,46.1F
Nov.,01,16,39.2F
Dec.,14,10,43.3F
Jun.,18,18,60.5F
Mar.,13,31,32.7F
Jan.,00,21,41.2F
Jan.,08,8,42.8F
Jan.,12,8,43.1F
Feb.,09,3,34.2F
Apr.,97,20,40.7F
Jan.,05,21,NA
Apr.,00,23,51.7F
Apr.,99,19,43.7F
Mar.,00,11,47.8F
Aug.,14,31,58.9F
Jun.,08,17,58F
Feb.,15,24,40.3F
Aug.,11,12,64.2F
Oct.,19,21,53F
Sep.,95,4,56.4F
Jun.,11,17,57.2F
Mar.,18,10,52.8F
Feb.,07,18,43.6F
Jul.,03,11,69.8F
Sep.,11,10,72.1F
Oct.,16,26,46.6F
Jul.,04,17,69.1F
Nov.,10,3,56.1F
Mar.,05,2,31.9F
Apr.,09,22,50F
Jan.,20,13,45.6F
Jan.,14,7,51.1F
May,97,5,56.7F
Aug.,00,21,61.2F
Mar.,05,26,52.1F
Aug.,15,17,57.6F
Jan.,10,30,31.5F
Apr.,04,25,54.7F
Apr.,99,22,51.9F
Oct.,16,12,194.7F
Jun.,95,21,62.8F
Jun.,14,24,64.2F
Jul.,08,3,166.8F
Jul.,10,29,61.3F
Oct.,15,1,50F
Mar.,05,18,50.2F
Aug.,09,7,70.1F
Nov.,16,6,42.1F
Sep.,96,30,60F
May,99,5,53.3F
Nov.,98,20,29.4F
Sep.,08,11,69.2F
Nov.,99,2,53.4F
Sep.,11,5,58.8F
Dec.,10,31,32.6F
May,96,6,46.5F
Oct.,99,7,50.9F
Dec.,07,16,29.5F
Jul.,08,16,61.5F
Jun.,03,18,66.5F
Oct.,95,15,61.5F
Jul.,15,29,59.1F
Feb.,06,6,NA
Aug.,07,24,66.3F
Oct.,10,11,48.2F
Oct.,11,3,65.5F
Nov.,00,22,47.8F
Apr.,01,21,158.8F
Oct.,15,3,53.5F
Feb.,19,1,35.6F
Nov.,02,1,53.6F
Oct.,03,3,57.9F
Feb.,04,9,37.7F
Dec.,00,12,55.7F
Apr.,08,2,47.7F
Dec.,03,20,176.8F
Aug.,97,31,68.6F
Dec.,96,29,19.8F
Mar.,06,24,46.6F
Jul.,05,23,61.5F
Mar.,01,26,38.5F
Sep.,96,26,57.8F
Oct.,14,12,54.5F
Apr.,17,11,48.3F
Sep.,06,9,58.3F
Sep.,13,12,57.4F
May,05,31,53.8F
Feb.,09,28,45.1F
Feb.,01,2,NA
Jul.,05,13,69.6F
Nov.,18,21,38F
Feb.,03,12,29F
Dec.,96,18,44.7F
Sep.,18,13,58.3F
Sep.,17,6,61.3F
Nov.,10,12,51.9F
Nov.,10,26,34.4F
Jul.,15,18,66.7F
Jul.,97,22,64.7F
Mar.,97,13,49.8F
Feb.,17,6,41.8F
Sep.,09,4,-184.3F
Feb.,01,11,-155.2F
Mar.,05,3,30.5F
Nov.,00,16,45.1F
Aug.,08,16,62F
Nov.,05,15,43.3F
May,18,20,169.1F
Aug.,19,12,NA
Sep.,97,12,180.8F
Apr.,10,9,150.6F
Apr.,09,3,55F
Apr.,95,26,56.6F
Nov.,95,24,48.2F
Sep.,13,4,70F
Dec.,02,7,34F
Dec.,97,18,44.9F
May,10,22,58.4F
Sep.,12,18,57.5F
Feb.,95,6,49.5F
Nov.,99,13,33.1F
Oct.,95,10,63.9F
Jul.,18,4,70.9F
Apr.,17,26,41F
Jan.,07,5,47.8F
Oct.,01,3,59.2F
Nov.,07,7,48.3F
Jan.,95,21,43.1F
Jan.,05,25,30.1F
Aug.,11,23,67.2F
Jan.,97,11,25F
Mar.,20,16,165.7F
Oct.,07,23,NA
Feb.,02,14,38.4F
Dec.,10,24,-174.9F
Mar.,01,2,35.3F
May,00,24,58.6F
May,04,29,63F
May,98,7,54.8F
Jun.,00,29,53.8F
Aug.,03,11,NA
Jan.,11,30,26.1F
Mar.,17,7,43.3F
May,11,23,60.8F
Aug.,14,11,61.2F
Aug.,18,11,62.2F
May,13,15,54F
Jan.,13,11,34F
Dec.,15,30,-99F
Mar.,08,2,51F
Nov.,19,17,38.8F
Dec.,10,1,22.2F
Jun.,19,5,58.9F
Jun.,16,8,63.9F
Dec.,13,18,46.9F
Oct.,11,10,61.9F
Aug.,11,18,64F
Oct.,97,10,59.6F
Oct.,08,1,55.1F
Dec.,01,14,25F
Aug.,07,8,154.4F
Dec.,14,30,37.2F
Oct.,98,5,45.7F
Jul.,13,20,63.9F
Oct.,18,29,39F
Sep.,07,4,54F
Sep.,01,20,-161.3F
Mar.,15,1,46.9F
Dec.,18,16,NA
Apr.,13,10,45.5F
Aug.,11,13,64.1F
Apr.,07,20,48.7F
Feb.,96,18,41.5F
Aug.,14,17,NA
Nov.,05,10,47.3F
Nov.,01,4,47.7F
Oct.,03,6,48.3F
Apr.,01,4,48.3F
Oct.,96,3,53.6F
Feb.,20,25,44.8F
Apr.,06,22,47F
Mar.,14,12,47.1F
May,11,26,58.5F
May,14,31,56.4F
Jun.,96,28,-163.6F
Nov.,06,9,48.5F
Sep.,08,16,53.1F
Oct.,11,25,-152.3F
Jan.,03,22,45.6F
Jan.,98,12,47.5F
Nov.,10,23,39.6F
Sep.,16,5,64.8F
Sep.,18,28,52.6F
May,16,5,-99F
Jan.,95,12,36.8F
Jun.,05,15,62.1F
Jun.,05,1,57.5F
Jul.,15,14,64.9F
Sep.,16,20,58.7F
Jan.,95,29,47.7F
Dec.,95,30,23.4F
Dec.,99,26,41.7F
Jul.,06,17,NA
Dec.,19,6,41.7F
Feb.,11,9,41.3F
Jul.,15,31,57.4F
Dec.,07,7,49.6F
Jan.,98,17,41.2F
Mar.,99,9,41.4F
Mar.,12,2,NA
Nov.,13,8,48.9F
Jan.,00,13,35.6F
Mar.,05,10,38.1F
Mar.,10,20,57.7F
Jan.,96,19,31.5F
Dec.,97,10,52.4F
Nov.,05,18,39.5F
Oct.,13,18,55.5F
Aug.,05,26,57.1F
Aug.,03,3,170.8F
Dec.,01,8,33.8F
Nov.,06,14,55.1F
Mar.,15,22,40.4F
Aug.,06,12,57.2F
Feb.,15,15,41F
Aug.,12,7,60.4F
Feb.,17,7,41.1F
Aug.,05,9,61F
Oct.,10,26,42.5F
Nov.,06,27,53.4F
Sep.,12,21,52.1F
Jun.,07,29,59F
Jun.,17,15,70.7F
Aug.,17,26,68.5F
Jan.,20,4,41.7F
Aug.,15,26,69.9F
Jan.,03,25,189.1F
May,15,11,64.7F
Jun.,12,1,59.7F
Jun.,12,15,59.5F
May,09,7,57.6F
May,10,8,46.8F
Jan.,99,1,47.2F
Oct.,00,7,48.5F
Apr.,98,27,50.1F
Nov.,02,5,49.1F
Nov.,97,20,44.3F
Aug.,99,16,59F
Jul.,05,10,69.2F
Feb.,02,18,40.2F
Feb.,16,14,35.6F
Nov.,97,8,51.1F
Feb.,13,13,30.5F
Jun.,15,12,70.9F
Oct.,14,21,NA
Apr.,07,14,65.1F
Oct.,03,5,48.2F
Feb.,08,16,NA
Sep.,08,19,49.3F
Apr.,10,21,43.7F
Dec.,14,28,24.5F
Aug.,03,27,62F
Mar.,10,8,NA
May,97,27,52.1F
Aug.,18,14,65.2F
May,03,12,54F
Oct.,06,25,54.9F
Oct.,07,3,58.3F
Jul.,07,15,NA
Nov.,02,15,46.3F
Jan.,19,7,43.1F
Oct.,00,24,53.9F
May,13,18,49.8F
May,09,19,58.5F
Dec.,99,8,46.5F
Oct.,14,8,158.2F
Oct.,06,18,57.6F
Sep.,12,8,63.8F
Jun.,15,29,66.6F
May,12,28,NA
Jul.,02,16,68.7F
Nov.,11,7,48.1F
Jan.,18,15,41.9F
Feb.,98,3,34.6F
Nov.,08,26,39F
Jul.,10,23,63.6F
Mar.,97,1,50.2F
Sep.,14,13,59.7F
Jan.,08,17,45.3F
Mar.,09,12,46.7F
Oct.,09,5,NA
Aug.,03,25,65.6F
Apr.,06,7,44.3F
Apr.,01,2,60.1F
Mar.,00,4,36.1F
Nov.,12,5,43.1F
Jan.,08,25,41.5F
Nov.,13,29,43.8F
Jul.,07,10,57.6F
Jul.,13,24,NA
Dec.,99,21,151F
May,07,2,56.8F
Jun.,01,7,56F
Nov.,05,12,47.1F
May,99,28,69.4F
Oct.,00,22,59.7F
Oct.,97,26,46.5F
Mar.,07,26,50.4F
May,09,5,52.9F
Mar.,09,31,44.6F
Apr.,14,16,47.2F
Jun.,07,15,NA
Apr.,12,7,42.8F
Feb.,09,26,45.1F
Dec.,14,8,36.5F
Feb.,97,24,50.6F
Aug.,18,22,NA
Jan.,97,27,31.4F
Mar.,06,3,31.6F
Jun.,99,27,63.1F
Sep.,07,16,NA
Sep.,13,13,57F
Jun.,09,2,61.3F
May,98,18,64.3F
Jun.,10,16,59.1F
May,14,2,-195.3F
Mar.,01,5,NA
Dec.,98,8,32.2F
Dec.,01,15,27.6F
Apr.,13,18,55.7F
Mar.,06,6,35.1F
Mar.,04,4,44.5F
Jan.,10,10,29F
May,01,1,NA
Oct.,16,1,55.6F
Feb.,07,20,-187.1F
Nov.,13,19,42F
Aug.,13,4,68.3F
Dec.,08,4,37.3F
Dec.,96,15,39.5F
Sep.,06,27,NA
May,10,5,43.8F
Jan.,08,1,38.2F
Sep.,14,28,62F
Feb.,10,16,NA
Nov.,13,17,40.1F
Sep.,04,27,59.7F
Oct.,12,27,-167.5F
Nov.,15,2,45.7F
Oct.,95,1,56.7F
Nov.,15,16,54F
Sep.,17,30,56.5F
Aug.,11,2,70.6F
Oct.,13,24,183.3F
May,08,1,48.4F
Mar.,99,29,49.8F
Feb.,10,3,37.9F
Mar.,07,9,44.1F
Feb.,00,5,47.9F
Sep.,13,2,62.2F
Nov.,00,20,NA
Feb.,09,20,41.6F
Nov.,99,8,48F
Aug.,98,10,75.7F
Jan.,11,7,45.5F
May,99,19,58.7F
Aug.,13,19,61.9F
Sep.,99,5,69.1F
May,20,2,49.8F
May,97,28,51.4F
Jun.,01,4,-159.6F
Sep.,95,11,60.7F
Apr.,01,22,44.6F
Feb.,02,25,49.5F
Jan.,02,19,46.2F
Mar.,99,18,NA
Jan.,20,17,47.3F
May,07,31,58.1F
Feb.,11,14,43.7F
Jun.,15,13,64.1F
Jun.,11,13,62F
Dec.,16,23,41.9F
Dec.,04,23,48.9F
May,10,26,48.9F
Mar.,17,20,51F
Jul.,02,9,68.3F
Feb.,09,2,33F
Feb.,19,27,NA
Dec.,99,2,44.5F
May,95,14,45.7F
Oct.,15,2,49.7F
Jun.,04,28,61.6F
May,20,6,51.9F
Feb.,99,21,43.8F
Sep.,98,11,58.4F
Oct.,05,5,53.6F
May,96,20,51.1F
May,10,28,55F
Sep.,13,30,53F
Sep.,05,14,62.3F
Aug.,09,27,68.2F
Apr.,17,29,47.5F
May,99,7,60.2F
Mar.,17,8,45.9F
Jan.,01,30,37.1F
Aug.,12,10,60.9F
Nov.,17,18,41.2F
Mar.,98,21,44.5F
Apr.,95,2,53.3F
Aug.,99,24,62.5F
Sep.,01,21,-194F
Oct.,12,30,45F
May,15,9,58.2F
Oct.,11,21,42.5F
Aug.,07,16,62.2F
Jul.,96,27,65.2F
Apr.,14,24,55.5F
Nov.,97,14,-191.2F
Jun.,16,23,73.6F
Mar.,14,4,-192.5F
Jul.,99,25,70.9F
Aug.,16,8,63F
Aug.,08,7,66.2F
May,19,9,52F
Dec.,97,14,42.6F
Oct.,99,27,50.8F
Dec.,16,6,37.5F
May,96,14,49F
Sep.,07,27,52.5F
Feb.,95,1,51F
Jun.,04,25,NA
Jun.,98,12,52.2F
Oct.,96,24,50.5F
Mar.,00,26,42.9F
Feb.,15,10,40.3F
Nov.,96,26,41.3F
Mar.,15,16,41.2F
Jul.,98,10,61.8F
Nov.,99,4,47.5F
Aug.,19,1,65.9F
May,97,2,61.7F
Mar.,09,2,42F
Oct.,16,30,49.5F
Jul.,09,22,-160.2F
Jul.,10,19,70.2F
Mar.,13,9,45.3F
Mar.,05,22,54.8F
Jun.,16,18,58.1F
Dec.,01,6,45.9F
Dec.,10,20,25.1F
Oct.,04,7,52.4F
Sep.,95,29,49.5F
Mar.,17,22,44F
Nov.,95,9,50.7F
Feb.,09,17,42.2F
Dec.,17,23,48.3F
Sep.,11,9,64.9F
Jan.,07,7,46.7F
Apr.,11,22,192.4F
Jan.,18,14,36.7F
Aug.,17,28,69.7F
Jun.,02,8,60.1F
Feb.,15,7,32.8F
Apr.,09,25,54F
Oct.,02,18,45.6F
Sep.,97,7,58.7F
Jun.,95,2,54.7F
Feb.,18,23,30.3F
Mar.,97,26,NA
Feb.,05,5,36F
Aug.,02,17,73.5F
Aug.,13,31,62.8F
Jul.,04,14,59.8F
Dec.,02,12,30.9F
Apr.,05,18,50.5F
Apr.,03,18,56.3F
Sep.,17,28,61.8F
May,00,1,56.6F
Apr.,00,1,44.2F
Dec.,15,5,45.3F
Dec.,97,31,47.7F
Dec.,98,1,31.8F
Oct.,97,14,47F
Oct.,99,28,50.2F
Mar.,96,16,NA
Jul.,13,18,72.1F
Dec.,11,20,41.2F
Oct.,99,25,54.5F
Jun.,13,14,57.6F
Mar.,01,3,31.8F
Sep.,02,15,60.3F
Dec.,19,27,42.9F
Jun.,10,6,64.8F
Jul.,15,4,80.9F
Jan.,10,19,39.5F
Mar.,07,28,165.3F
Jun.,01,6,NA
Jan.,04,8,42.6F
May,16,8,67.6F
Oct.,02,11,44.8F
Sep.,98,15,56.7F
Jan.,04,4,33.3F
May,08,23,60.2F
Feb.,17,11,31.2F
Apr.,97,11,45.9F
May,08,18,51.4F
Mar.,04,10,33F
Nov.,12,8,48.7F
Jul.,17,20,67F
Feb.,98,26,47.3F
Feb.,12,4,12F
Jun.,97,10,68.6F
May,18,6,NA
Jan.,08,19,53.6F
Apr.,13,6,189.2F
Jan.,02,13,37.1F
Jun.,16,1,58.7F
May,01,28,67.6F
Sep.,15,24,55.8F
Dec.,15,14,44.4F
Nov.,08,25,37.1F
Mar.,09,23,45.3F
Jul.,07,2,61.8F
Oct.,02,13,51.4F
Mar.,98,26,44.2F
Dec.,18,26,32.9F
Jun.,13,16,59.5F
Nov.,96,22,36.8F
Nov.,15,4,55.7F
Jan.,99,3,43.2F
Jun.,07,8,67.7F
Aug.,13,23,NA
Dec.,05,15,44.5F
Dec.,08,15,34F
Jul.,99,7,63.6F
Jun.,11,1,56.6F
Jan.,01,13,31.7F
Jul.,96,3,60.8F
Mar.,01,1,37.1F
Jul.,07,7,61.3F
Feb.,08,11,45.5F
Feb.,05,13,38.6F
May,08,22,58.6F
Sep.,10,24,58F
Nov.,98,23,23.8F
Apr.,00,13,NA
Dec.,16,7,44.9F
Jul.,08,22,156.5F
Oct.,15,17,45.7F
Sep.,19,14,60.2F
Apr.,08,8,40.4F
Aug.,04,28,NA
Jan.,19,30,32.6F
May,16,10,NA
Sep.,19,27,59.7F
Oct.,13,3,58.7F
Sep.,15,11,57.7F
Mar.,09,13,48.3F
Dec.,13,6,37.9F
Jun.,10,26,68.4F
May,18,24,63.5F
Feb.,02,9,52F
Jun.,02,12,61.2F
Nov.,03,16,42.3F
Aug.,19,17,63.8F
Jan.,97,23,41F
Feb.,16,10,NA
Aug.,09,12,-154.8F
Aug.,08,3,NA
Feb.,02,4,48.7F
Sep.,95,10,62.5F
Feb.,10,27,46.1F
Sep.,08,15,51.7F
Mar.,96,21,45.9F
Feb.,09,14,32.5F
Feb.,07,10,43.1F
Apr.,97,22,44F
Oct.,12,19,62.7F
Feb.,00,6,46.8F
Mar.,02,23,41.6F
Oct.,05,31,62F
May,96,2,51.4F
Sep.,18,5,67.8F
Oct.,01,4,57.1F
Jul.,06,27,75.8F
Jun.,07,30,63.1F
Nov.,96,17,34.7F
Nov.,07,9,41.3F
Oct.,00,1,57.3F
Sep.,13,25,56.9F
Nov.,08,23,33.1F
Apr.,10,22,42.3F
Dec.,04,25,40.5F
Dec.,15,29,47.4F
May,10,10,46.5F
Jan.,09,24,37F
Jun.,04,8,74.5F
Jan.,15,16,42.1F
May,96,13,46.1F
Jun.,96,3,58.2F
Jan.,17,24,33.4F
Dec.,17,22,48.5F
Aug.,10,12,59.2F
Jun.,06,28,59.5F
Jan.,14,15,40.2F
Jun.,05,9,56.6F
Jun.,19,24,76.3F
Aug.,02,4,61F
Feb.,15,28,39.7F
Apr.,01,27,50F
Apr.,07,16,62.2F
May,16,27,62.8F
Aug.,15,30,73.8F
Sep.,13,26,57.4F
Feb.,05,17,32.1F
Nov.,17,25,39.3F
Oct.,02,27,55.4F
May,15,6,53.8F
Jan.,11,8,49.8F
Apr.,01,8,45.6F
Mar.,20,18,50.7F
Sep.,96,11,55.4F
May,06,26,55.8F
Sep.,04,16,55.8F
Jun.,17,6,58F
May,17,7,51.6F
Nov.,00,8,46.6F
Mar.,10,24,56.2F
Oct.,04,10,NA
May,13,30,51.8F
Apr.,96,21,65.5F
Aug.,96,5,66.8F
Dec.,95,26,33.6F
Jun.,95,19,63.5F
May,96,12,47.7F
Feb.,14,8,44.4F
Jul.,09,12,64.3F
Nov.,95,18,37.2F
May,08,11,65.2F
Sep.,96,6,55.8F
May,95,17,51.7F
Aug.,02,1,65.4F
Aug.,98,3,64.6F
Jul.,00,26,58.7F
Apr.,15,14,57.1F
Jul.,08,4,60.9F
Jun.,06,24,65.6F
Apr.,13,1,35F
May,99,27,67.4F
May,07,10,59.2F
Jun.,01,12,57.3F
Jan.,04,28,34.1F
Apr.,14,12,50.8F
Mar.,03,14,41.3F
Nov.,13,13,42.4F
May,06,27,56.9F
Apr.,04,5,NA
Oct.,08,15,56.7F
Jun.,03,16,NA
May,17,18,62.3F
Jun.,07,20,68.1F
Dec.,09,31,32.4F
May,05,26,71.6F
Feb.,16,18,36.8F
Dec.,02,1,NA
