m,y,d,t
Apr.,13,30,49F
May,17,3,49.1F
Jan.,19,19,31F
May,99,26,58.4F
Dec.,16,27,39F
Apr.,11,13,46.7F
Jul.,15,15,65.5F
Sep.,02,22,54.8F
Jul.,12,5,68F
Jul.,09,16,69.6F
Sep.,11,8,57.1F
Aug.,04,3,NA
May,07,4,59F
Apr.,13,11,50.5F
Jul.,00,8,55.2F
Jun.,03,3,68.3F
Aug.,17,24,-157.3F
Jun.,99,11,53.2F
Jul.,17,25,61.5F
Mar.,16,7,35.2F
Dec.,04,5,43.9F
Mar.,03,10,52.4F
Apr.,00,25,57.9F
Nov.,96,16,NA
Nov.,01,26,44.3F
Aug.,18,6,75.9F
Aug.,04,24,63.2F
Jun.,07,7,69.3F
Jul.,09,18,62F
Jun.,07,10,63.5F
Oct.,95,13,59.9F
Nov.,10,10,42.2F
Mar.,09,11,43.5F
Feb.,20,15,50F
Sep.,96,24,52.2F
Mar.,10,14,-194.3F
Oct.,01,11,58.2F
Nov.,97,11,45.3F
Nov.,09,29,48.6F
Aug.,03,29,58.4F
Feb.,05,27,28.3F
Aug.,07,7,63.3F
Feb.,08,19,-185.8F
Oct.,15,16,44F
Nov.,17,28,40.4F
Apr.,16,9,49.9F
May,98,28,58.8F
Jun.,10,11,64.1F
Mar.,05,8,40.9F
Aug.,06,10,58F
Apr.,09,13,NA
Oct.,13,30,47.3F
Apr.,01,9,48.7F
Jan.,13,19,26.4F
Feb.,99,23,37.7F
Aug.,98,7,NA
May,11,13,56.4F
Jan.,98,11,44.7F
Nov.,17,24,45.4F
May,95,12,49.3F
Feb.,14,25,48.4F
Oct.,17,12,56.7F
Nov.,04,11,40.5F
May,07,20,55.4F
Mar.,09,25,42.1F
Aug.,09,5,71.4F
Apr.,12,5,NA
Oct.,02,12,NA
Mar.,07,16,45.7F
Nov.,98,15,43F
Dec.,15,22,53.7F
Aug.,15,7,69.3F
Mar.,96,7,37.7F
Jun.,07,3,64.3F
Sep.,02,9,62.3F
Mar.,15,24,41.4F
Mar.,16,6,37.8F
Nov.,10,28,28.3F
May,12,8,57.8F
Feb.,10,25,48.1F
Jul.,03,21,71.8F
Sep.,99,27,58.2F
Mar.,14,17,49.5F
Jul.,12,1,60.7F
Nov.,99,27,45.9F
Nov.,01,25,50.5F
Jan.,97,21,34.6F
Nov.,12,19,162.7F
Apr.,17,5,48.3F
Oct.,00,8,52.1F
Jul.,95,27,67.8F
Dec.,10,30,33.3F
Mar.,12,14,45.8F
Nov.,07,4,49F
Apr.,08,29,50.6F
Jul.,10,6,-161.7F
May,98,19,63.6F
Nov.,99,5,47.5F
Dec.,99,14,37.2F
Dec.,16,26,45.5F
Aug.,98,8,166.2F
Oct.,06,23,61.2F
Feb.,03,19,-171F
Jun.,00,6,57.5F
Jun.,12,20,63.6F
Nov.,17,10,47.3F
Feb.,19,26,51.4F
May,02,11,56.9F
Nov.,12,20,NA
Apr.,02,30,53.1F
Jan.,14,8,48.6F
Sep.,12,13,55.6F
Mar.,99,27,44.8F
Jul.,11,2,175.4F
Oct.,97,28,33.4F
Sep.,96,1,54F
Sep.,01,17,52.2F
Oct.,19,2,50.7F
Nov.,02,28,45.7F
Oct.,08,6,55.9F
